additions,deletions,total,method,path,change,count_changes,percent_change
319,594,1133,trilinear,examples/outgoing/cube.subdiv.2.mt.trilinear.mnc,-275,913,-0.24271844660194175
472,545,1335,tricubic,examples/outgoing/cube.subdiv.2.mt.tricubic.mnc,-73,1017,-0.05468164794007491
560,560,1408,nearest_neighbour,examples/outgoing/cube.subdiv.2.mt.nearest_neighbour.mnc,0,1120,0.0
335,616,679,trilinear,examples/outgoing/pyramid.subdiv.2.mt.trilinear.mnc,-281,951,-0.41384388807069217
510,582,888,tricubic,examples/outgoing/pyramid.subdiv.2.mt.tricubic.mnc,-72,1092,-0.08108108108108109
572,572,960,nearest_neighbour,examples/outgoing/pyramid.subdiv.2.mt.nearest_neighbour.mnc,0,1144,0.0
5227,6364,8463,trilinear,examples/outgoing/square_prism.subdiv.2.mt.trilinear.mnc,-1137,11591,-0.13434952144629564
5523,6320,8803,tricubic,examples/outgoing/square_prism.subdiv.2.mt.tricubic.mnc,-797,11843,-0.09053731682381007
6160,6160,9600,nearest_neighbour,examples/outgoing/square_prism.subdiv.2.mt.nearest_neighbour.mnc,0,12320,0.0
3307,883,65992,trilinear,examples/outgoing/ball.subdiv.2.mt.trilinear.mnc,2424,4190,0.03673172505758274
2598,1744,64422,tricubic,examples/outgoing/ball.subdiv.2.mt.tricubic.mnc,854,4342,0.01325634100152122
4303,4303,63568,nearest_neighbour,examples/outgoing/ball.subdiv.2.mt.nearest_neighbour.mnc,0,8606,0.0
